Date,Open,High,Low,Close,Adj Close,Volume,Weekday,OP/CL
26/03/2015,2.59,2.7,2.53,2.65,2.65,28286300,Thursday,
27/03/2015,2.7,2.8,2.63,2.72,2.72,16810200,Friday,CL
30/03/2015,2.73,2.76,2.66,2.7,2.7,8557500,Monday,OP
31/03/2015,2.66,2.7,2.65,2.68,2.68,7025000,Tuesday,
01/04/2015,2.66,2.75,2.65,2.69,2.69,11196400,Wednesday,
02/04/2015,2.66,2.7,2.65,2.69,2.69,7047600,Thursday,CL
06/04/2015,2.68,2.73,2.68,2.7,2.7,8178500,Monday,OP
07/04/2015,2.7,2.74,2.69,2.7,2.7,5738100,Tuesday,
08/04/2015,2.68,2.74,2.68,2.71,2.71,4349000,Wednesday,
09/04/2015,2.69,2.75,2.69,2.72,2.72,7127600,Thursday,
10/04/2015,2.74,2.78,2.73,2.76,2.76,6184800,Friday,CL
13/04/2015,2.76,2.8,2.73,2.78,2.78,8391500,Monday,OP
14/04/2015,2.77,2.79,2.65,2.67,2.67,13338800,Tuesday,
15/04/2015,2.7,2.74,2.65,2.7,2.7,15281400,Wednesday,
16/04/2015,2.72,2.94,2.7,2.87,2.87,28617300,Thursday,
17/04/2015,2.54,2.58,2.45,2.58,2.58,53185300,Friday,CL
20/04/2015,2.56,2.57,2.45,2.49,2.49,29126000,Monday,OP
21/04/2015,2.53,2.53,2.35,2.35,2.35,31279400,Tuesday,
22/04/2015,2.35,2.36,2.25,2.28,2.28,27634900,Wednesday,
23/04/2015,2.28,2.36,2.26,2.33,2.33,15130400,Thursday,
24/04/2015,2.36,2.38,2.3,2.3,2.3,15001200,Friday,CL
27/04/2015,2.3,2.36,2.29,2.34,2.34,13486900,Monday,OP
28/04/2015,2.36,2.37,2.31,2.31,2.31,11448700,Tuesday,
29/04/2015,2.3,2.33,2.27,2.28,2.28,11870200,Wednesday,
30/04/2015,2.28,2.31,2.26,2.26,2.26,11465300,Thursday,
01/05/2015,2.26,2.31,2.25,2.31,2.31,11662800,Friday,CL
04/05/2015,2.31,2.36,2.3,2.31,2.31,9670100,Monday,OP
05/05/2015,2.34,2.34,2.25,2.28,2.28,12371600,Tuesday,
